Set,Rooms,R2 (adaptive),MAE (adaptive),RMSE (adaptive),sMAPE (adaptive),LSTM Acc,LGB Acc,XGB Acc,Fixed Ensemble Acc (20/40/40),Adaptive Ensemble Acc,Fixed Ensemble Loss (20/40/40),Adaptive Ensemble Loss,Mean Adaptive Weight LSTM %,Mean Adaptive Weight LGB %,Mean Adaptive Weight XGB %
A,58,0.9646,0.3327,0.4833,33.22,0.8156,0.964,0.9452,0.9526,0.9749,0.2968,0.2335,4,57,39
B,58,0.9549,0.3829,0.5229,32.67,0.8328,0.9702,0.9564,0.9525,0.9637,0.2971,0.2653,6,51,43
C,59,0.9519,0.3806,0.531,32.66,0.823,0.9657,0.952,0.9531,0.9724,0.2954,0.2407,5,53,42
D,58,0.9494,0.4264,0.5806,33.37,0.8125,0.9896,0.9614,0.9476,0.9776,0.311,0.2259,6,52,42
E,57,0.9277,0.5172,0.6955,34.01,0.7919,0.9615,0.9557,0.944,0.9667,0.3211,0.2569,6,51,43
