RoomID,Room,Status,Accuracy,Loss,Acc_ensemble,Acc_lgb,Acc_xgb,Acc_lstm
,29,OK,nan,nan,nan,nan,nan,nan
,2,NO_METRICS,nan,nan,nan,nan,nan,nan
,30,OK,nan,nan,nan,nan,nan,nan
,31,OK,nan,nan,nan,nan,nan,nan
,32,OK,nan,nan,nan,nan,nan,nan
,33,OK,nan,nan,nan,nan,nan,nan
,34,OK,nan,nan,nan,nan,nan,nan
,35,OK,nan,nan,nan,nan,nan,nan
,36,OK,nan,nan,nan,nan,nan,nan
,37,OK,nan,nan,nan,nan,nan,nan
,38,OK,nan,nan,nan,nan,nan,nan
,39,OK,nan,nan,nan,nan,nan,nan
,3,NO_METRICS,nan,nan,nan,nan,nan,nan
,40,OK,nan,nan,nan,nan,nan,nan
,41,OK,nan,nan,nan,nan,nan,nan
,42,OK,nan,nan,nan,nan,nan,nan
,43,OK,nan,nan,nan,nan,nan,nan
,44,OK,nan,nan,nan,nan,nan,nan
,45,OK,nan,nan,nan,nan,nan,nan
,46,OK,nan,nan,nan,nan,nan,nan
,47,OK,nan,nan,nan,nan,nan,nan
,48,OK,nan,nan,nan,nan,nan,nan
,49,OK,nan,nan,nan,nan,nan,nan
,4,NO_METRICS,nan,nan,nan,nan,nan,nan
,50,OK,nan,nan,nan,nan,nan,nan
,51,OK,nan,nan,nan,nan,nan,nan
,52,OK,nan,nan,nan,nan,nan,nan
,53,OK,nan,nan,nan,nan,nan,nan
,54,OK,nan,nan,nan,nan,nan,nan
,55,OK,nan,nan,nan,nan,nan,nan
,56,OK,nan,nan,nan,nan,nan,nan
,57,OK,nan,nan,nan,nan,nan,nan
,58,OK,nan,nan,nan,nan,nan,nan
,59,OK,nan,nan,nan,nan,nan,nan
,5,NO_METRICS,nan,nan,nan,nan,nan,nan
,60,OK,nan,nan,nan,nan,nan,nan
,61,OK,nan,nan,nan,nan,nan,nan
,62,OK,nan,nan,nan,nan,nan,nan
,63,OK,nan,nan,nan,nan,nan,nan
,64,OK,nan,nan,nan,nan,nan,nan
,65,OK,nan,nan,nan,nan,nan,nan
,66,OK,nan,nan,nan,nan,nan,nan
,67,OK,nan,nan,nan,nan,nan,nan
,68,OK,nan,nan,nan,nan,nan,nan
,69,OK,nan,nan,nan,nan,nan,nan
,6,NO_METRICS,nan,nan,nan,nan,nan,nan
,70,OK,nan,nan,nan,nan,nan,nan
,71,OK,nan,nan,nan,nan,nan,nan
,72,OK,nan,nan,nan,nan,nan,nan
,73,OK,nan,nan,nan,nan,nan,nan
,74,OK,nan,nan,nan,nan,nan,nan
,75,OK,nan,nan,nan,nan,nan,nan
,76,OK,nan,nan,nan,nan,nan,nan
,77,OK,nan,nan,nan,nan,nan,nan
,78,OK,nan,nan,nan,nan,nan,nan
,79,OK,nan,nan,nan,nan,nan,nan
,7,NO_METRICS,nan,nan,nan,nan,nan,nan
,80,OK,nan,nan,nan,nan,nan,nan
,81,OK,nan,nan,nan,nan,nan,nan
,82,OK,nan,nan,nan,nan,nan,nan
,83,OK,nan,nan,nan,nan,nan,nan
,84,OK,nan,nan,nan,nan,nan,nan
,85,OK,nan,nan,nan,nan,nan,nan
,86,OK,nan,nan,nan,nan,nan,nan
,87,OK,nan,nan,nan,nan,nan,nan
,88,OK,nan,nan,nan,nan,nan,nan
,89,OK,nan,nan,nan,nan,nan,nan
,8,NO_METRICS,nan,nan,nan,nan,nan,nan
,90,OK,nan,nan,nan,nan,nan,nan
,91,OK,nan,nan,nan,nan,nan,nan
,92,OK,nan,nan,nan,nan,nan,nan
,93,OK,nan,nan,nan,nan,nan,nan
,94,OK,nan,nan,nan,nan,nan,nan
,95,OK,nan,nan,nan,nan,nan,nan
,97,OK,nan,nan,nan,nan,nan,nan
,98,OK,nan,nan,nan,nan,nan,nan
,9,NO_METRICS,nan,nan,nan,nan,nan,nan
