Scheme,LSTM Weight %,LGB Weight %,XGB Weight %,Accuracy,R2,MAE
Equal,33.3,33.3,33.3,0.8136,0.9027,0.5557
Current (production),20.0,40.0,40.0,0.8651,0.9366,0.4418
Proportional-to-Accuracy,25.4,37.6,37.0,0.8426,0.9243,0.486
Grid-Search Optimal,0.0,25.0,75.0,0.9452,0.9639,0.3245
