room,baseline,test_accuracy,f1,r2,mae,n_test
2C05-06,naive_lag1,0.5939,0.5932,-0.17680789628156823,2.6,165
2C05-06,snaive_lag7,0.7515,0.7488,-0.10738630772832636,2.109090909090909,165
2C05-06,moving_avg_7,0.4667,0.4209,0.10648649442166958,2.8731601731601732,165
2C05-06,moving_avg_28,0.4242,0.3529,-0.10523033190020126,3.4756493506493507,165
2C05-06,train_mean,0.3939,0.2227,-0.010893080803845212,3.434928229665071,165
2C05-06,dow_mean,0.5576,0.4789,0.21219041780759929,2.765561003492038,165
2C05-06,ridge_linear,0.9758,0.9758,0.9988557919020676,0.09863215972619171,165
2C09,naive_lag1,0.6304,0.6304,-0.4195977400824815,2.7880434782608696,276
2C09,snaive_lag7,0.8116,0.8093,-0.16490288581153711,1.7373188405797102,276
2C09,moving_avg_7,0.7283,0.6717,0.09039160836070348,2.5313146997929605,276
2C09,moving_avg_28,0.7319,0.6517,0.01752557964143886,2.8179994824016563,276
2C09,train_mean,0.7609,0.6575,-0.08114636566745492,3.1684279388083736,276
2C09,dow_mean,0.5217,0.5302,-0.09586011971761987,3.0810820317996344,276
2C09,ridge_linear,0.9928,0.9929,0.9970077661978515,0.13016601186132482,276
2C10-11,naive_lag1,0.5946,0.5949,-0.19391644361115556,2.9234234234234235,222
2C10-11,snaive_lag7,0.6667,0.6584,-0.30023251224235525,2.6914414414414414,222
2C10-11,moving_avg_7,0.545,0.4918,0.1121978870121153,2.9649292149292146,222
2C10-11,moving_avg_28,0.5405,0.4015,-0.034164489919266794,3.5028957528957534,222
2C10-11,train_mean,0.5721,0.4164,-0.050831732686696496,3.6604590248658035,222
2C10-11,dow_mean,0.6036,0.573,0.05964809733655618,3.3689882334377734,222
2C10-11,ridge_linear,0.9414,0.9445,0.998930629004799,0.0918553115146331,222
2C16-17,naive_lag1,0.5534,0.553,-0.24902543458175175,3.1798418972332017,253
2C16-17,snaive_lag7,0.6561,0.6524,-0.3923108006567282,3.0019762845849804,253
2C16-17,moving_avg_7,0.5494,0.4845,0.05070531170024284,3.3486730660643707,253
2C16-17,moving_avg_28,0.5613,0.4298,-0.019338456738786647,3.7757622811970637,253
2C16-17,train_mean,0.585,0.4318,-0.0370700209170054,3.8971103514581777,253
2C16-17,dow_mean,0.5296,0.4854,0.06884622677934071,3.5483090603681253,253
2C16-17,ridge_linear,0.9684,0.968,0.9970221454600541,0.16276717717081582,253
3C05-06,naive_lag1,0.5047,0.5047,0.012647703487654316,3.02803738317757,214
3C05-06,snaive_lag7,0.6682,0.6665,-0.1222568729782687,2.6401869158878504,214
3C05-06,moving_avg_7,0.5187,0.4724,0.1678380814499908,3.0417222963951933,214
3C05-06,moving_avg_28,0.5187,0.4466,-0.0009859626049888437,3.641688918558078,214
3C05-06,train_mean,0.4626,0.2926,-0.009262076326432833,3.8597035630841128,214
3C05-06,dow_mean,0.486,0.4322,0.15349178494558013,3.3009316564426743,214
3C05-06,ridge_linear,1.0,1.0,0.9998240329003525,0.03770180420733394,214
1C-MEETING,naive_lag1,0.9673,0.9687,-0.7850018413945494,0.2581818181818182,275
1C-MEETING,snaive_lag7,0.96,0.9618,-0.709044316228824,0.24727272727272728,275
1C-MEETING,moving_avg_7,0.9818,0.9728,-0.13609033105017088,0.28779220779220777,275
1C-MEETING,moving_avg_28,0.9818,0.9728,-0.0380377349657024,0.29220779220779225,275
1C-MEETING,train_mean,0.9818,0.9728,-3.1851643489891446,1.3144934190388737,275
1C-MEETING,dow_mean,0.9818,0.9728,-3.309782142762436,1.2967756557168322,275
1C-MEETING,ridge_linear,1.0,1.0,0.9879930297407519,0.04838910925157544,275
3C16-17,naive_lag1,0.7281,0.7281,0.14881970839106595,2.567982456140351,228
3C16-17,snaive_lag7,0.7939,0.795,0.17017046537938374,1.9846491228070176,228
3C16-17,moving_avg_7,0.3202,0.3885,0.14064139645205564,3.4739974937343363,228
3C16-17,moving_avg_28,0.2281,0.2123,-0.05342105628400606,4.238486842105263,228
3C16-17,train_mean,0.4167,0.2451,-0.00839157254951961,4.516112894969519,228
3C16-17,dow_mean,0.307,0.2521,0.22793214822554853,3.6431137390464743,228
3C16-17,ridge_linear,1.0,1.0,0.9998424256550007,0.04269524912932482,228
4C05,naive_lag1,0.6683,0.6683,-0.6514316613451436,1.4504950495049505,202
4C05,snaive_lag7,0.6287,0.6256,-0.9901702029045214,1.5841584158415842,202
4C05,moving_avg_7,0.6931,0.6404,-0.13337890259616048,1.4717114568599716,202
4C05,moving_avg_28,0.7673,0.6663,-0.05240828008963905,1.514586280056577,202
4C05,train_mean,0.7673,0.6663,-0.004398967591698,1.553884234577304,202
4C05,dow_mean,0.7673,0.6663,0.051876079320780644,1.4083055385654395,202
4C05,ridge_linear,1.0,1.0,0.9997888135555814,0.018118181006894427,202
